Peer Name,IPv4,ASN,IPv6,Speed (Gbps),Internet Exchange
Agile Solutions Provider,196.10.141.110,328748,2001:43f8:6d2::110,10,NAPAfrica IX Durban
Airpark Beaufort West,196.60.70.214,327822,2001:43f8:6d1::214,10,NAPAfrica IX Cape Town
Airpark Beaufort West,196.60.70.4,327822,2001:43f8:6d1::4,10,NAPAfrica IX Cape Town
Airpark Beaufort West,196.60.9.253,327822,2001:43f8:6d0::9:253,10,NAPAfrica IX Johannesburg
Airpark Beaufort West,196.60.8.253,327822,2001:43f8:6d0::253,10,NAPAfrica IX Johannesburg
Airpark Beaufort West,196.223.23.51,327822,2001:43f8:1f1::1:51,1,CINX
Airtel Rwanda AS327708,196.60.70.61,327708,2001:43f8:6d1::61,200,NAPAfrica IX Cape Town
Airtel Rwanda AS327708,196.60.10.213,327708,2001:43f8:6d0::10:213,200,NAPAfrica IX Johannesburg
Airtelecom,196.60.9.132,328346,2001:43f8:6d0::9:132,1,NAPAfrica IX Johannesburg
Akamai Technologies,196.60.11.40,20940,2001:43f8:6d0::11:40,600,NAPAfrica IX Johannesburg
Akamai Technologies,196.60.8.212,20940,2001:43f8:6d0::212,600,NAPAfrica IX Johannesburg
Akamai Technologies,196.60.70.113,20940,2001:43f8:6d1::113,500,NAPAfrica IX Cape Town
Akamai Technologies,196.60.11.85,20940,2001:43f8:6d0::11:85,400,NAPAfrica IX Johannesburg
Akamai Technologies,196.60.96.211,20940,2001:43f8:1f0::211,200,JINX
Akamai Technologies,196.10.141.173,20940,2001:43f8:6d2::173,200,NAPAfrica IX Durban
Akamai Technologies,196.223.22.211,20940,2001:43f8:1f1::211,100,CINX
Akamai Technologies,196.223.30.211,20940,2001:43f8:1f2::211,100,DINX
Akesa Connect,196.60.11.94,329546,2001:43f8:6d0::11:94,10,NAPAfrica IX Johannesburg
Alibaba Cloud CDN,196.60.9.177,24429,,40,NAPAfrica IX Johannesburg
AllWorldIT ZA,196.223.22.74,328112,2001:43f8:1f1::74,10,CINX
AllWorldIT ZA,196.60.96.74,328112,2001:43f8:1f0::74,10,JINX
AllWorldIT ZA,196.60.70.43,328112,2001:43f8:6d1::43,10,NAPAfrica IX Cape Town
AllWorldIT ZA,196.10.141.43,328112,2001:43f8:6d2::43,10,NAPAfrica IX Durban
AllWorldIT ZA,196.60.9.43,328112,2001:43f8:6d0::8112,10,NAPAfrica IX Johannesburg
Alsatia Consulting,196.60.9.127,37720,2001:43f8:6d0::9:127,10,NAPAfrica IX Johannesburg
Alsatia Consulting,196.60.9.128,37720,2001:43f8:6d0::9:128,10,NAPAfrica IX Johannesburg
Altech Radio Holdings,196.60.9.88,328220,2001:43f8:6d0::9:88,20,NAPAfrica IX Johannesburg
Altech Radio Holdings,196.60.70.219,328220,2001:43f8:6d1::219,10,NAPAfrica IX Cape Town
Amazon.com,196.60.9.110,16509,2001:43f8:6d0::9:110,200,NAPAfrica IX Johannesburg
Amazon.com,196.60.9.105,16509,2001:43f8:6d0::9:105,200,NAPAfrica IX Johannesburg
Amazon.com,196.223.22.163,16509,2001:43f8:1f1::163,100,CINX
Amazon.com,196.223.22.152,16509,2001:43f8:1f1::152,100,CINX
Amazon.com,196.60.70.110,16509,2001:43f8:6d1::110,100,NAPAfrica IX Cape Town
Amazon.com,196.60.70.105,16509,2001:43f8:6d1::105,100,NAPAfrica IX Cape Town
Amobia Communications,196.60.70.34,37266,,10,NAPAfrica IX Cape Town
Amobia Communications,196.60.8.227,37266,,10,NAPAfrica IX Johannesburg
Amobia Communications,196.60.8.66,37266,,10,NAPAfrica IX Johannesburg
Amobia Communications,196.60.120.24,37266,,10,NMBINX
Amobia Communications,196.223.22.24,37266,2001:43f8:1f1::24,1,CINX
Anexia,196.60.8.56,42473,2001:43f8:6d0::56,1,NAPAfrica IX Johannesburg
Angola Cables,196.60.70.160,37468,2001:43f8:6d1::160,100,NAPAfrica IX Cape Town
Angola Cables,196.60.8.60,37468,2001:43f8:6d0::60,100,NAPAfrica IX Johannesburg
Angola Cables,196.10.141.150,37468,2001:43f8:6d2::150,10,NAPAfrica IX Durban
Apple Inc.,196.60.9.162,714,2001:43f8:6d0::9:162,200,NAPAfrica IX Johannesburg
Apple Inc.,196.60.9.161,714,2001:43f8:6d0::9:161,200,NAPAfrica IX Johannesburg
Aptus Solutions Ltd,196.60.9.36,37349,2001:43f8:6d0::9:36,10,NAPAfrica IX Johannesburg
Aptus Solutions Ltd,196.60.8.71,37349,2001:43f8:6d0::71,10,NAPAfrica IX Johannesburg
Aryaka Networks,196.60.8.223,11179,,1,NAPAfrica IX Johannesburg
ASAP Internet,196.223.30.133,328327,2001:43f8:1f2::133,10,DINX
ASAP Internet,196.10.141.106,328327,2001:43f8:6d2::106,10,NAPAfrica IX Durban
ASAP Internet,196.60.9.106,328327,2001:43f8:6d0::9:106,10,NAPAfrica IX Johannesburg
ASAP Internet,196.60.96.133,328327,2001:43f8:1f0::133,1,JINX
AT&T EMEA,196.60.11.39,2686,2001:43f8:6d0::11:39,10,NAPAfrica IX Johannesburg
ATC,196.60.71.109,328750,,10,NAPAfrica IX Cape Town
ATC,196.10.141.41,328750,2001:43f8:6d2::41,2,NAPAfrica IX Durban
ATEC Systems & Technologies,196.60.9.115,327897,,20,NAPAfrica IX Johannesburg
ATEC Systems & Technologies,196.60.70.115,327897,,10,NAPAfrica IX Cape Town
Atomic Access,196.223.22.166,328266,2001:43f8:1f1::166,10,CINX
Atomic Access,196.223.23.49,328266,2001:43f8:1f1::1:49,10,CINX
Atomic Access,196.60.70.224,328266,2001:43f8:6d1::224,10,NAPAfrica IX Cape Town
Atomic Access,196.60.70.149,328266,2001:43f8:6d1::149,10,NAPAfrica IX Cape Town
Atomic Access,196.60.9.124,328266,2001:43f8:6d0::9:124,10,NAPAfrica IX Johannesburg
Atomic Access,196.60.9.120,328266,2001:43f8:6d0::9:120,10,NAPAfrica IX Johannesburg
Attix5 Africa,196.60.9.19,328536,,10,NAPAfrica IX Johannesburg
Audatex (UK),196.60.96.52,50287,2001:43f8:1f0::52,1,JINX
Audatex (UK),196.60.8.119,50287,2001:43f8:6d0::119,1,NAPAfrica IX Johannesburg
Audatex (UK),196.60.9.30,50287,2001:43f8:6d0::9:30,1,NAPAfrica IX Johannesburg
Automattic,196.60.8.10,2635,2001:43f8:6d0::2635,100,NAPAfrica IX Johannesburg
Avanti Communications South Africa,196.60.9.166,328306,2001:43f8:6d0::9:166,10,NAPAfrica IX Johannesburg
Avanti Communications South Africa,196.60.9.167,328306,2001:43f8:6d0::9:167,10,NAPAfrica IX Johannesburg
Backspace Technologies,196.223.30.154,328512,2001:43f8:1f2::154,10,DINX
Backspace Technologies,196.223.15.30,328512,,10,JINX Voice
Backspace Technologies,196.60.71.45,328512,2001:43f8:6d1::71:45,10,NAPAfrica IX Cape Town
Backspace Technologies,196.60.71.44,328512,2001:43f8:6d1::71:44,10,NAPAfrica IX Cape Town
Backspace Technologies,196.10.141.154,328512,2001:43f8:6d2::154,10,NAPAfrica IX Durban
Backspace Technologies,196.10.141.155,328512,2001:43f8:6d2::155,10,NAPAfrica IX Durban
Backspace Technologies,196.60.8.113,328512,2001:43f8:6d0::113,10,NAPAfrica IX Johannesburg
Backspace Technologies,196.60.8.116,328512,2001:43f8:6d0::116,10,NAPAfrica IX Johannesburg
Backspace Technologies,196.223.22.154,328512,2001:43f8:1f1::154,1,CINX
Backspace Technologies,196.60.96.154,328512,2001:43f8:1f0::154,1,JINX
Bandwidth and Cloud Services Group,196.60.8.170,37273,2001:43f8:6d0::170,100,NAPAfrica IX Johannesburg
Baremetal Computer Traders,196.223.23.73,329062,2001:43f8:1f1::1:73,10,CINX
Baremetal Computer Traders,196.60.71.129,329062,2001:43f8:6d1::71:129,10,NAPAfrica IX Cape Town
Baremetal Computer Traders,196.60.11.87,329062,2001:43f8:6d0::11:87,10,NAPAfrica IX Johannesburg
BDC Wireless,196.60.70.146,328275,,10,NAPAfrica IX Cape Town
BDC Wireless,196.60.10.60,328275,,10,NAPAfrica IX Johannesburg
Be Broadband,196.60.9.217,328473,2001:43f8:6d0::9:217,30,NAPAfrica IX Johannesburg
Be Broadband,196.60.71.105,328473,2001:43f8:6d1::71:105,10,NAPAfrica IX Cape Town
Be Broadband,196.10.141.147,328473,2001:43f8:6d2::147,10,NAPAfrica IX Durban
BEONLINE TWENTY FOUR SEVEN INTERNET,196.60.9.25,328009,,10,NAPAfrica IX Johannesburg
Bethnet,196.60.8.224,327892,2001:43f8:6d0::224,20,NAPAfrica IX Johannesburg
Bethnet,196.60.71.104,327892,2001:43f8:6d1::71:104,10,NAPAfrica IX Cape Town
Bethnet,196.60.97.54,327892,2001:43f8:1f0::1:54,1,JINX
BGP.Tools Route Collector,196.223.22.14,212232,2001:43f8:1f1::14,10,CINX
BGP.Tools Route Collector,196.223.30.14,212232,2001:43f8:1f2::14,10,DINX
BGP.Tools Route Collector,196.60.96.14,212232,2001:43f8:1f0::14,10,JINX
BGP.Tools Route Collector,196.60.120.14,212232,2001:43f8:690::14,10,NMBINX
Bharti Airtel Limited,196.60.10.5,9498,2001:43f8:6d0::10:5,20,NAPAfrica IX Johannesburg
BICS,196.60.8.87,6774,2001:43f8:6d0::87,20,NAPAfrica IX Johannesburg
BICS,196.60.10.159,6774,2001:43f8:6d0::10:159,20,NAPAfrica IX Johannesburg
BICS,196.60.71.135,6774,2001:43f8:6d1::71:135,10,NAPAfrica IX Cape Town
Bioniq,196.60.9.141,328214,2001:43f8:6d0::9:141,10,NAPAfrica IX Johannesburg
BitCo,196.60.8.160,37358,2001:43f8:6d0::160,40,NAPAfrica IX Johannesburg
BitCo,196.60.11.61,37358,2001:43f8:6d0::11:61,20,NAPAfrica IX Johannesburg
BitCo,196.223.22.79,37358,2001:43f8:1f1::79,10,CINX
BitCo,196.223.30.79,37358,2001:43f8:1f2::79,10,DINX
BitCo,196.60.96.79,37358,2001:43f8:1f0::79,10,JINX
BitCo,196.60.96.128,37358,2001:43f8:1f0::128,10,JINX
BitCo,196.60.70.38,37358,2001:43f8:6d1::38,10,NAPAfrica IX Cape Town
BitCo,196.10.141.74,37358,2001:43f8:6d2::74,10,NAPAfrica IX Durban
BitCo,196.223.15.28,37358,,1,JINX Voice
Bitconnect,196.60.10.189,328952,2001:43f8:6d0::10:189,10,NAPAfrica IX Johannesburg
Bitconnect,196.60.96.207,328952,2001:43f8:1f0::207,1,JINX
Blaze Internet,196.60.70.44,328763,,10,NAPAfrica IX Cape Town
Blaze Internet,196.60.10.105,328763,,10,NAPAfrica IX Johannesburg
Bloomberg,196.60.11.66,10361,,10,NAPAfrica IX Johannesburg
Bloomberg,196.60.11.65,10361,,10,NAPAfrica IX Johannesburg
BLUE ITS BUSINESS SOLUTIONS (PTY) LTD,196.60.10.167,328884,2001:43f8:6d0::10:167,20,NAPAfrica IX Johannesburg
BLUE ITS BUSINESS SOLUTIONS (PTY) LTD,196.60.97.26,328884,2001:43f8:1f0::1:26,10,JINX
BLUE ITS BUSINESS SOLUTIONS (PTY) LTD,196.223.23.26,328884,2001:43f8:1f1::1:26,1,CINX
BLUE ITS BUSINESS SOLUTIONS (PTY) LTD,196.60.71.74,328884,2001:43f8:6d1::71:74,1,NAPAfrica IX Cape Town
Bluecentrix,196.60.10.128,328819,,10,NAPAfrica IX Johannesburg
Bluedust Wireless,196.60.8.147,37368,2001:43f8:6d0::147,10,NAPAfrica IX Johannesburg
Boost Networks,196.60.9.252,329089,2001:43f8:6d0::9:252,10,NAPAfrica IX Johannesburg
Borwood,196.60.96.190,29606,2001:43f8:1f0::190,10,JINX
Borwood,196.60.70.16,29606,,10,NAPAfrica IX Cape Town
Borwood,196.60.8.11,29606,,10,NAPAfrica IX Johannesburg
Borwood,196.10.141.119,29606,,1,NAPAfrica IX Durban
Bosveld Communications,196.60.96.119,327966,2001:43f8:1f0::119,10,JINX
Bosveld Communications,196.60.70.223,327966,2001:43f8:6d1::223,10,NAPAfrica IX Cape Town
Bosveld Communications,196.60.8.23,327966,2001:43f8:6d0::23,10,NAPAfrica IX Johannesburg
Botswana Fibre Networks,196.60.8.242,37678,2001:43f8:6d0::242,100,NAPAfrica IX Johannesburg
Botswana Fibre Networks,196.60.8.29,37678,2001:43f8:6d0::29,100,NAPAfrica IX Johannesburg
Botswana Fibre Networks,196.60.96.113,37678,2001:43f8:1f0::113,20,JINX
Botswana Telecommunications Corporation,196.60.8.50,14988,,20,NAPAfrica IX Johannesburg
Breedenet,196.60.70.71,37439,2001:43f8:6d1::71,10,NAPAfrica IX Cape Town
Brilliant Telecommunications,196.60.71.77,328323,2001:43f8:6d1::71:77,10,NAPAfrica IX Cape Town
Brilliant Telecommunications,196.10.141.61,328323,2001:43f8:6d2::61,10,NAPAfrica IX Durban
British Telecom GIIB,196.60.8.58,3300,2001:43f8:6d0::58,10,NAPAfrica IX Johannesburg
Broadband Infraco SOC,196.60.70.56,327698,2001:43f8:6d1::56,10,NAPAfrica IX Cape Town
Broadband Infraco SOC,196.60.8.244,327698,2001:43f8:6d0::244,10,NAPAfrica IX Johannesburg
Broadband Infraco SOC,196.223.30.92,327698,2001:43f8:1f2::92,1,DINX
Broadband Infraco SOC,196.10.141.83,327698,2001:43f8:6d2::83,1,NAPAfrica IX Durban
BUI,196.60.8.7,328119,,1,NAPAfrica IX Johannesburg
BUI,196.46.25.180,328119,,1,NAPAfrica MAPS Johannesburg
Bundu NetworX,196.10.141.91,327805,2001:43f8:6d2::91,1,NAPAfrica IX Durban
Business Connexion,196.60.97.12,7020,,10,JINX
Business Connexion,196.60.96.40,7020,,10,JINX
Business Connexion,196.60.71.123,7020,,10,NAPAfrica IX Cape Town
Business Connexion,196.60.70.23,7020,,10,NAPAfrica IX Cape Town
Business Connexion,196.60.8.118,7020,,10,NAPAfrica IX Johannesburg
Business Connexion,196.60.8.167,7020,,10,NAPAfrica IX Johannesburg
Business Connexion,196.223.22.40,7020,,1,CINX
Business Services,196.60.96.84,37549,2001:43f8:1f0::84,10,JINX
Business Services,196.60.9.226,37549,2001:43f8:6d0::9:226,10,NAPAfrica IX Johannesburg
Business Services,196.60.8.183,37549,2001:43f8:6d0::183,10,NAPAfrica IX Johannesburg
Business Services,196.60.70.183,37549,2001:43f8:6d1::183,1,NAPAfrica IX Cape Town
Business Solutionz,196.223.30.186,328622,2001:43f8:1f2::186,10,DINX
Business Solutionz,196.10.141.56,328622,2001:43f8:6d2::56,10,NAPAfrica IX Durban
ByteDance,196.60.10.212,396986,2001:43f8:6d0::10:212,400,NAPAfrica IX Johannesburg
ByteDance,196.60.11.42,396986,2001:43f8:6d0::11:42,400,NAPAfrica IX Johannesburg
BytesNET,196.60.70.194,37525,2001:43f8:6d1::194,1,NAPAfrica IX Cape Town
BytesNET,196.60.8.94,37525,2001:43f8:6d0::94,1,NAPAfrica IX Johannesburg
BytesNET,196.60.8.84,37525,2001:43f8:6d0::84,1,NAPAfrica IX Johannesburg
C-Way Computers,196.60.10.49,328661,2001:43f8:6d0::10:49,10,NAPAfrica IX Johannesburg
C. Steinweg Bridge,196.46.25.156,328894,,1,NAPAfrica MAPS Johannesburg
C. Steinweg Bridge,196.46.25.157,328894,,1,NAPAfrica MAPS Johannesburg
Cable & Wireless Seychelles,196.60.8.4,36958,2001:43f8:6d0::4,10,NAPAfrica IX Johannesburg
CacheFly,196.60.9.248,30081,2001:43f8:6d0::9:248,100,NAPAfrica IX Johannesburg
Canal+ Telecom,196.60.8.69,21351,2001:43f8:6d0::69,60,NAPAfrica IX Johannesburg
Canal+ Telecom,196.10.141.46,21351,2001:43f8:6d2::46,40,NAPAfrica IX Durban
Cape Connect Internet,196.223.22.43,37640,2001:43f8:1f1::43,10,CINX
Cape Connect Internet,196.60.96.43,37640,2001:43f8:1f0::43,10,JINX
Cape Connect Internet,196.60.70.57,37640,2001:43f8:6d1::57,10,NAPAfrica IX Cape Town
Cape Connect Internet,196.60.8.199,37640,2001:43f8:6d0::199,10,NAPAfrica IX Johannesburg
CAPITEC BANK,196.60.70.128,327988,2001:43f8:6d1::128,20,NAPAfrica IX Cape Town
CAPITEC BANK,196.60.70.127,327988,2001:43f8:6d1::127,20,NAPAfrica IX Cape Town
CAPITEC BANK,196.60.8.73,327988,2001:43f8:6d0::73,20,NAPAfrica IX Johannesburg
CAPITEC BANK,196.60.8.222,327988,2001:43f8:6d0::222,20,NAPAfrica IX Johannesburg
CAPITEC BANK,196.46.25.28,327988,,10,NAPAfrica MAPS Cape Town
CAPITEC BANK,196.46.25.29,327988,,10,NAPAfrica MAPS Cape Town
CAPITEC BANK,196.46.25.177,327988,,10,NAPAfrica MAPS Johannesburg
CAPITEC BANK,196.46.25.176,327988,,10,NAPAfrica MAPS Johannesburg
Capricom Networks,196.60.10.251,328341,2001:43f8:6d0::10:251,20,NAPAfrica IX Johannesburg
Capricom Networks,196.60.9.178,328341,2001:43f8:6d0::9:178,20,NAPAfrica IX Johannesburg
Capricom Networks,196.60.71.9,328341,2001:43f8:6d1::71:9,10,NAPAfrica IX Cape Town
Capricom Networks,196.60.96.252,328341,2001:43f8:1f0::252,1,JINX
Capricom Networks,196.60.96.178,328341,2001:43f8:1f0::178,1,JINX
CASTLEROCK MANAGED IT SERVICES COMPANY,196.60.71.39,328818,2001:43f8:6d1::71:39,10,NAPAfrica IX Cape Town
CASTLEROCK MANAGED IT SERVICES COMPANY,196.60.71.40,328818,2001:43f8:6d1::71:40,10,NAPAfrica IX Cape Town
CASTLEROCK MANAGED IT SERVICES COMPANY,196.60.10.187,328818,2001:43f8:6d0::10:187,0.1,NAPAfrica IX Johannesburg
CASTLEROCK MANAGED IT SERVICES COMPANY,196.60.10.186,328818,2001:43f8:6d0::10:186,0.1,NAPAfrica IX Johannesburg
Catchpoint,196.60.10.163,397601,2001:43f8:6d0::10:163,10,NAPAfrica IX Johannesburg
Catchpoint,196.60.97.21,397601,2001:43f8:1f0::1:21,1,JINX
Cato Networks,196.60.11.8,13150,,10,NAPAfrica IX Johannesburg
CCI SOUTH AFRICA,196.60.10.81,329106,,10,NAPAfrica IX Johannesburg
CDN77,196.60.8.107,60068,2001:43f8:6d0::107,300,NAPAfrica IX Johannesburg
CDN77,196.60.10.240,60068,2001:43f8:6d0::10:240,300,NAPAfrica IX Johannesburg
Cell C,196.60.8.144,37168,,100,NAPAfrica IX Johannesburg
Cell C,196.60.9.144,37168,,40,NAPAfrica IX Johannesburg
Cell C,196.60.96.59,37168,,20,JINX
Cell C,196.60.96.124,37168,,20,JINX
Cell C,196.60.70.186,37168,,20,NAPAfrica IX Cape Town
Cell C,196.10.141.144,37168,,20,NAPAfrica IX Durban
Cell C,196.223.22.59,37168,,10,CINX
Cell C,196.223.30.59,37168,,10,DINX
CentralNic Anycast B,196.60.9.211,60890,2001:43f8:6d0::9:211,1,NAPAfrica IX Johannesburg
CFM WIRELESS,196.60.71.92,329046,2001:43f8:6d1::71:92,1,NAPAfrica IX Cape Town
CFM WIRELESS,196.60.11.1,329046,2001:43f8:6d0::11:1,1,NAPAfrica IX Johannesburg
China Mobile International,196.60.96.54,58453,2001:43f8:1f0::54,100,JINX
